City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
230,Camana,PE,-16.6228,-72.7111,66.72,77,97,9.22,overcast clouds
231,Umm Lajj,SA,25.0213,37.2685,78.76,62,0,6.55,clear sky
232,Agbor,NG,6.2518,6.1934,86.68,70,86,1.16,light rain
233,Sibolga,ID,1.7427,98.7792,77.07,81,100,2.98,overcast clouds
234,Mitsamiouli,KM,-11.3847,43.2844,80.96,73,9,8.99,clear sky
235,Bathsheba,BB,13.2167,-59.5167,88.41,62,40,21.85,scattered clouds
236,Tuktoyaktuk,CA,69.4541,-133.0374,11.66,93,100,9.75,overcast clouds
237,Humaita,BR,-7.5061,-63.0208,88.2,52,83,4.38,broken clouds
238,Santiago Del Estero,AR,-27.7951,-64.2615,70.88,70,99,7.7,overcast clouds
239,Portland,US,45.5234,-122.6762,63.28,90,75,4.0,broken clouds
240,Kulu,TR,39.0951,33.0799,49.55,41,78,3.0,broken clouds
241,Fortuna,US,40.5982,-124.1573,52.41,95,90,8.05,overcast clouds
242,Chanute,US,37.6792,-95.4572,50.5,52,99,13.22,overcast clouds
243,La Ronge,CA,55.1001,-105.2842,28.62,93,90,4.61,light snow
244,Whitehorse,CA,60.7161,-135.0538,20.17,93,90,5.75,light snow
245,Lubsko,PL,51.7847,14.972,45.57,97,7,5.68,clear sky
246,Beausejour,CA,50.0622,-96.5167,21.78,95,90,1.05,overcast clouds
247,Fort Walton Beach,US,30.4058,-86.6188,57.52,51,1,5.01,clear sky
248,Vityazevo,RU,44.9931,37.2719,48.61,66,20,11.18,few clouds
249,Atambua,ID,-9.1061,124.8925,75.18,87,100,3.2,overcast clouds
250,Madison,US,34.7334,-86.5667,51.15,62,1,3.0,clear sky
251,Labuhan,ID,-6.8844,112.2051,78.19,86,100,9.01,overcast clouds
252,Changuinola,PA,9.4333,-82.5167,84.15,61,6,6.13,clear sky
253,Qingdao,CN,36.0986,120.3719,54.59,49,0,3.69,clear sky
254,Gaoua,BF,10.2992,-3.2508,92.98,26,69,1.92,broken clouds
255,Rawson,AR,-43.3002,-65.1023,66.29,29,91,24.92,overcast clouds
256,Oktyabrskoye,RU,43.0645,44.7417,41.14,86,90,2.24,overcast clouds
257,Sechura,PE,-5.5569,-80.8222,73.9,58,26,6.58,scattered clouds
258,Schonebeck,DE,52.0167,11.75,47.61,87,49,6.15,scattered clouds
259,Grand-Lahou,CI,5.1367,-5.0242,83.07,75,27,8.46,scattered clouds
260,Fare,PF,-16.7,-151.0167,75.16,81,100,7.96,light rain
261,Koutiala,ML,12.3917,-5.4642,97.14,11,32,7.18,scattered clouds
262,Kapit,MY,2.0167,112.9333,73.81,99,100,1.21,light rain
263,Cherskiy,RU,68.75,161.3,6.58,97,97,1.34,overcast clouds
264,Teguise,ES,29.0605,-13.564,71.82,46,20,12.66,few clouds
265,Muli,MV,2.9167,73.5667,83.14,76,47,15.93,scattered clouds
266,Khani,GE,41.9563,42.9566,49.57,47,43,5.19,scattered clouds
267,Tutoia,BR,-2.7619,-42.2744,85.69,64,67,13.78,broken clouds
268,Ribeira Grande,PT,38.5167,-28.7,61.2,82,75,24.16,mist
269,Kulhudhuffushi,MV,6.6221,73.07,81.05,81,100,20.49,overcast clouds
270,Tura,IN,25.5198,90.2201,61.41,84,1,2.77,clear sky
271,Impfondo,CG,1.6381,18.0667,78.46,77,83,0.4,light rain
272,Burns Lake,CA,54.2331,-125.7533,29.39,98,100,3.27,light snow
273,Roald,NO,62.5833,6.1333,50.92,66,0,9.22,clear sky
274,Alugan,PH,12.2188,125.4808,79.75,86,100,7.45,overcast clouds
275,Nakapiripirit,UG,1.9167,34.7833,78.04,40,88,13.24,overcast clouds
276,Coquimbo,CL,-29.9533,-71.3436,64.13,63,0,13.8,clear sky
277,Port Hedland,AU,-20.3167,118.5667,71.65,60,0,8.05,clear sky
278,Kumano,JP,34.3442,132.5894,50.94,75,1,3.31,clear sky
279,Asyut,EG,27.181,31.1837,76.5,43,4,8.19,clear sky
280,Zyryanka,RU,65.75,150.85,0.91,96,100,7.92,overcast clouds
281,Tezu,IN,27.9167,96.1667,63.05,49,0,4.07,clear sky
282,Olafsvik,IS,64.8945,-23.7142,38.66,66,64,36.78,broken clouds
283,Turukhansk,RU,65.8167,87.9833,-5.28,99,100,5.21,overcast clouds
284,Nome,US,64.5011,-165.4064,24.87,86,90,0.0,overcast clouds
285,Airai,TL,-8.9266,125.4092,61.27,91,99,0.78,overcast clouds
286,Am Timan,TD,11.0297,20.2827,89.69,19,10,4.97,clear sky
287,Georgetown,MY,5.4112,100.3354,80.53,88,20,2.3,few clouds
288,Bayangol,RU,50.6977,103.4656,20.32,71,9,2.13,clear sky
289,Wairoa,NZ,-39.0333,177.3667,66.6,63,10,1.99,clear sky
290,Scarborough,GB,54.2797,-0.4044,54.52,89,41,1.01,scattered clouds
291,Bethel,US,41.3712,-73.414,49.17,65,1,1.01,clear sky
292,Petropavlovskaya,RU,45.0819,40.4512,44.91,68,92,11.21,overcast clouds
293,Shimoda,JP,34.6667,138.95,54.1,67,65,7.16,broken clouds
294,Tete,MZ,-16.1564,33.5867,91.62,39,71,6.08,light rain
295,Skibbereen,IE,51.55,-9.2667,57.0,96,100,6.15,overcast clouds
296,Longyearbyen,SJ,78.2186,15.6401,15.64,62,75,8.05,broken clouds
297,Marzuq,YE,14.4,46.4667,72.05,37,0,2.42,clear sky
298,Heiligenhafen,DE,54.3667,10.9833,47.05,84,13,18.03,few clouds
299,San Carlos De Bariloche,AR,-41.1456,-71.3082,47.68,69,54,15.14,broken clouds
300,Meulaboh,ID,4.1363,96.1285,77.25,87,90,2.71,overcast clouds
301,Tiznit,MA,29.5833,-9.5,65.79,53,0,10.74,clear sky
302,Codrington,AU,-38.2667,141.9667,47.95,74,82,25.28,broken clouds
